Gender,LearningStyle,Extracurricular,Internet,OnlineCourses,EduTech,Resources,FinalGrade,Age,StudyHours,Attendance,Motivation,Discussions,AssignmentCompletion,ExamScore,StressLevel
1,2,0,1,1,0,2,0,27,21,83,1,0,66,86,1
1,0,0,1,18,1,2,0,27,21,83,1,1,77,96,1
1,3,1,1,9,1,1,3,18,9,82,1,0,55,40,2
1,3,1,1,5,1,1,3,25,9,82,1,0,73,46,2
1,2,1,1,16,1,2,2,27,10,78,1,0,71,68,2
1,3,1,1,9,1,2,1,20,10,78,1,0,85,78,2
0,3,0,1,0,1,1,3,19,17,68,1,1,75,42,1
0,2,0,1,15,1,1,2,24,17,68,1,1,87,64,2
0,3,0,1,11,1,1,3,20,17,68,1,1,88,49,1
0,3,1,1,0,1,1,3,19,17,68,1,1,75,42,1
0,2,1,1,15,1,1,2,24,17,68,1,1,87,64,2
0,3,1,1,11,1,1,3,20,17,68,1,1,88,49,1
0,3,0,1,0,1,1,3,19,17,68,2,1,75,42,1
0,2,0,1,15,1,1,2,24,17,68,2,1,87,64,2
0,3,0,1,11,1,1,3,20,17,68,2,1,88,49,1
0,3,1,1,0,1,2,3,19,17,68,1,1,75,42,1
0,2,1,1,15,1,2,2,24,17,68,1,1,87,64,2
0,3,1,1,11,1,2,3,20,17,68,1,1,88,49,1
0,3,1,1,0,1,0,3,19,17,68,2,1,75,42,1
0,2,1,1,15,1,0,2,24,17,68,2,1,87,64,2
0,3,1,1,11,1,0,3,20,17,68,2,1,88,49,1
0,3,1,1,1,1,1,3,22,22,70,1,1,74,40,2
0,3,0,1,1,1,1,3,22,22,70,0,1,74,40,2
0,3,1,1,1,1,2,3,22,22,70,2,1,74,40,2
0,3,1,1,1,1,1,3,22,22,70,0,1,74,40,2
0,3,1,1,1,1,2,3,22,22,70,1,1,74,40,2
0,2,1,1,12,0,1,2,23,15,80,0,0,50,56,1
0,2,1,1,18,1,1,0,21,15,80,0,1,87,89,0
0,1,1,1,5,1,1,1,23,15,80,0,1,56,75,2
0,2,0,1,12,0,2,2,23,15,80,1,0,50,56,1
0,2,0,1,18,1,2,0,21,15,80,1,1,87,89,0
0,1,0,1,5,1,2,1,23,15,80,1,1,56,75,2
0,2,0,1,12,0,0,2,23,15,80,2,0,50,56,1
0,2,0,1,18,1,0,0,21,15,80,2,1,87,89,0
0,1,0,1,5,1,0,1,23,15,80,2,1,56,75,2
0,2,0,1,12,0,1,2,23,15,80,1,0,50,56,1
0,2,0,1,18,1,1,0,21,15,80,1,1,87,89,0
0,1,0,1,5,1,1,1,23,15,80,1,1,56,75,2
0,2,1,1,12,0,1,2,23,15,80,1,0,50,56,1
0,2,1,1,18,1,1,0,21,15,80,1,1,87,89,0
0,1,1,1,5,1,1,1,23,15,80,1,1,56,75,2
1,0,1,1,8,1,2,1,21,12,75,1,1,66,71,2
1,2,1,1,13,1,2,3,22,12,75,1,1,55,48,1
0,0,0,1,12,1,1,0,28,29,78,2,1,67,91,2
0,0,1,1,12,1,2,0,28,29,78,1,1,67,91,2
1,3,0,1,5,1,2,2,25,19,99,1,1,91,56,0
1,3,0,1,5,1,1,2,25,19,99,1,1,91,56,0
1,3,0,1,5,1,2,2,25,19,99,0,1,91,56,0
1,3,1,1,5,1,2,2,25,19,99,0,1,91,56,0
1,3,0,1,5,1,0,2,25,19,99,1,1,91,56,0
1,3,1,1,5,1,1,2,25,19,99,0,1,91,56,0
1,3,1,1,5,1,1,2,25,19,99,1,1,91,56,0
1,3,0,1,5,1,0,2,25,19,99,2,1,91,56,0
1,3,1,1,5,1,2,2,25,19,99,1,1,91,56,0
0,3,0,1,14,1,2,0,22,20,74,0,1,93,97,2
0,1,0,1,13,0,2,2,24,20,74,0,1,68,67,1
0,0,0,1,5,0,2,2,29,20,74,0,0,80,65,0
0,3,1,1,14,1,1,0,22,20,74,0,1,93,97,2
0,1,1,1,13,0,1,2,24,20,74,0,1,68,67,1
0,0,1,1,5,0,1,2,29,20,74,0,0,80,65,0
0,3,1,0,14,1,2,0,22,20,74,1,1,93,97,2
0,1,1,0,13,0,2,2,24,20,74,1,1,68,67,1
0,0,1,0,5,0,2,2,29,20,74,1,0,80,65,0
0,3,1,1,14,1,1,0,22,20,74,2,1,93,97,2
0,1,1,1,13,0,1,2,24,20,74,2,1,68,67,1
0,0,1,1,5,0,1,2,29,20,74,2,0,80,65,0
0,3,1,1,14,1,0,0,22,20,74,2,1,93,97,2
0,1,1,1,13,0,0,2,24,20,74,2,1,68,67,1
0,0,1,1,5,0,0,2,29,20,74,2,0,80,65,0
1,2,1,1,15,0,1,1,25,11,78,2,1,59,77,1
1,0,1,1,7,1,1,1,27,11,78,2,0,69,77,2
1,0,1,1,5,1,1,0,18,11,78,2,0,62,90,2
1,2,1,1,14,1,1,0,19,11,78,2,1,80,98,2
1,3,1,1,19,1,1,1,21,11,78,2,1,96,83,1
1,2,1,1,15,0,2,1,25,11,78,1,1,59,77,1
1,0,1,1,7,1,2,1,27,11,78,1,0,69,77,2
1,0,1,1,5,1,2,0,18,11,78,1,0,62,90,2
1,2,1,1,14,1,2,0,19,11,78,1,1,80,98,2
1,3,1,1,19,1,2,1,21,11,78,1,1,96,83,1
0,2,1,1,4,0,2,1,28,17,65,1,0,88,72,0
0,1,1,1,8,1,2,2,21,17,65,1,0,79,58,2
0,2,1,1,4,0,0,1,28,17,65,1,0,88,72,0
0,1,1,1,8,1,0,2,21,17,65,1,0,79,58,2
0,2,0,1,4,0,1,1,28,17,65,1,0,88,72,0
0,1,0,1,8,1,1,2,21,17,65,1,0,79,58,2
1,2,1,1,20,0,0,3,26,21,62,2,1,65,46,2
1,2,0,1,20,0,0,3,26,21,62,2,1,65,46,2
1,2,0,1,20,0,1,3,26,21,62,1,1,65,46,2
0,0,0,1,18,0,1,2,19,13,91,1,1,64,63,1
0,3,0,1,4,0,1,1,25,13,91,1,0,73,77,2
0,0,0,1,5,0,1,0,21,13,91,1,1,98,100,2
0,1,0,1,14,1,1,0,29,13,91,1,1,66,90,2
0,1,0,1,3,1,1,3,28,13,91,1,1,85,46,2
0,2,0,1,10,0,1,2,19,13,91,1,0,89,61,2
0,0,1,1,18,0,1,2,19,13,91,1,1,64,63,1
0,3,1,1,4,0,1,1,25,13,91,1,0,73,77,2
0,0,1,1,5,0,1,0,21,13,91,1,1,98,100,2
0,1,1,1,14,1,1,0,29,13,91,1,1,66,90,2
0,1,1,1,3,1,1,3,28,13,91,1,1,85,46,2
0,2,1,1,10,0,1,2,19,13,91,1,0,89,61,2
1,2,1,1,3,1,2,1,28,22,83,1,0,96,75,2
1,2,1,1,3,1,1,1,28,22,83,2,0,96,75,2
1,2,1,0,3,1,1,1,28,22,83,2,0,96,75,2
1,2,1,1,3,1,0,1,28,22,83,1,0,96,75,2
0,1,0,1,0,0,1,3,19,16,90,1,1,90,52,2
0,1,0,0,0,0,1,3,19,16,90,2,1,90,52,2
0,1,1,1,0,0,2,3,19,16,90,1,1,90,52,2
0,1,1,1,0,0,2,3,19,16,90,2,1,90,52,2
1,1,0,1,14,1,2,1,22,18,66,0,0,50,73,1
1,2,0,1,3,1,2,2,27,18,66,0,0,57,60,0
1,1,0,1,14,1,1,1,22,18,66,1,0,50,73,1
1,2,0,1,3,1,1,2,27,18,66,1,0,57,60,0
1,1,0,1,14,1,2,1,22,18,66,1,0,50,73,1
1,2,0,1,3,1,2,2,27,18,66,1,0,57,60,0
1,1,1,1,14,1,2,1,22,18,66,1,0,50,73,1
1,2,1,1,3,1,2,2,27,18,66,1,0,57,60,0
1,1,1,0,14,1,1,1,22,18,66,0,0,50,73,1
1,2,1,0,3,1,1,2,27,18,66,0,0,57,60,0
1,1,1,0,14,1,2,1,22,18,66,1,0,50,73,1
1,2,1,0,3,1,2,2,27,18,66,1,0,57,60,0
1,1,1,1,14,1,1,1,22,18,66,2,0,50,73,1
1,2,1,1,3,1,1,2,27,18,66,2,0,57,60,0
1,1,1,1,14,1,1,1,22,18,66,1,0,50,73,1
1,2,1,1,3,1,1,2,27,18,66,1,0,57,60,0
0,1,0,1,4,0,1,2,27,16,83,1,1,52,66,1
0,1,0,1,0,1,1,2,26,16,83,1,0,96,56,0
0,1,1,1,4,0,2,2,27,16,83,0,1,52,66,1
0,1,1,1,0,1,2,2,26,16,83,0,0,96,56,0
0,1,1,1,4,0,1,2,27,16,83,1,1,52,66,1
0,1,1,1,0,1,1,2,26,16,83,1,0,96,56,0
0,1,1,1,4,0,1,2,27,16,83,2,1,52,66,1
0,1,1,1,0,1,1,2,26,16,83,2,0,96,56,0
0,1,1,1,4,0,1,2,27,16,83,0,1,52,66,1
0,1,1,1,0,1,1,2,26,16,83,0,0,96,56,0
0,1,0,1,4,0,1,2,27,16,83,0,1,52,66,1
0,1,0,1,0,1,1,2,26,16,83,0,0,96,56,0
1,2,1,1,1,1,2,1,28,31,70,1,0,52,71,2
1,3,1,1,14,1,1,1,21,20,69,1,1,87,79,0
1,3,1,1,20,0,1,0,18,20,69,1,0,82,97,2
1,3,1,1,14,1,2,1,21,20,69,1,1,87,79,0
1,3,1,1,20,0,2,0,18,20,69,1,0,82,97,2
1,3,0,1,14,1,2,1,21,20,69,0,1,87,79,0
1,3,0,1,20,0,2,0,18,20,69,0,0,82,97,2
1,3,1,1,14,1,1,1,21,20,69,2,1,87,79,0
1,3,1,1,20,0,1,0,18,20,69,2,0,82,97,2
0,0,0,1,17,1,1,3,18,14,60,1,0,88,52,2
0,0,1,1,17,1,0,3,18,14,60,0,0,88,52,2
0,3,0,1,0,0,1,3,25,25,65,1,1,62,51,1
0,3,0,1,4,1,1,2,28,25,65,1,1,100,55,0
0,3,1,1,0,0,2,3,25,25,65,2,1,62,51,1
0,3,1,1,4,1,2,2,28,25,65,2,1,100,55,0
0,3,1,1,0,0,0,3,25,25,65,1,1,62,51,1
0,3,1,1,4,1,0,2,28,25,65,1,1,100,55,0
0,3,1,1,0,0,1,3,25,25,65,1,1,62,51,1
0,3,1,1,4,1,1,2,28,25,65,1,1,100,55,0
0,3,1,0,0,0,2,3,25,25,65,0,1,62,51,1
0,3,1,0,4,1,2,2,28,25,65,0,1,100,55,0
0,3,1,1,1,1,0,3,20,21,65,0,1,54,54,0
0,1,1,1,12,0,0,1,24,21,65,0,1,96,78,2
0,3,1,0,1,1,2,3,20,21,65,0,1,54,54,0
0,1,1,0,12,0,2,1,24,21,65,0,1,96,78,2
0,2,0,1,20,0,1,0,28,8,99,0,1,99,97,1
0,1,0,1,15,1,1,3,23,8,99,0,1,89,54,1
0,3,0,1,17,0,1,0,20,8,99,0,1,59,91,0
0,2,1,1,20,0,2,0,28,8,99,1,1,99,97,1
0,1,1,1,15,1,2,3,23,8,99,1,1,89,54,1
0,3,1,1,17,0,2,0,20,8,99,1,1,59,91,0
0,1,1,1,7,0,1,0,28,12,72,1,1,58,100,1
0,2,1,1,13,1,1,3,26,12,72,1,1,51,42,2
0,1,1,1,16,1,1,1,29,12,72,1,0,61,73,1
0,1,1,1,7,0,0,0,28,12,72,2,1,58,100,1
0,2,1,1,13,1,0,3,26,12,72,2,1,51,42,2
0,1,1,1,16,1,0,1,29,12,72,2,0,61,73,1
0,1,0,1,7,0,1,0,28,12,72,2,1,58,100,1
0,2,0,1,13,1,1,3,26,12,72,2,1,51,42,2
0,1,0,1,16,1,1,1,29,12,72,2,0,61,73,1
0,1,0,1,7,0,1,0,28,12,72,0,1,58,100,1
0,2,0,1,13,1,1,3,26,12,72,0,1,51,42,2
0,1,0,1,16,1,1,1,29,12,72,0,0,61,73,1
1,0,1,1,0,1,1,0,21,21,65,0,0,93,95,1
1,0,1,0,0,1,0,0,21,21,65,2,0,93,95,1
1,0,0,1,0,1,1,0,21,21,65,2,0,93,95,1
1,0,0,1,0,1,2,0,21,21,65,0,0,93,95,1
1,0,1,1,0,1,1,0,21,21,65,1,0,93,95,1
1,0,0,1,0,1,1,0,21,21,65,1,0,93,95,1
1,0,1,1,0,1,2,0,21,21,65,2,0,93,95,1
1,0,0,1,0,1,2,0,21,21,65,1,0,93,95,1
1,2,0,1,5,1,1,2,29,24,68,0,1,78,61,1
1,2,0,1,5,1,1,2,29,24,68,1,1,78,61,1
1,2,1,1,5,1,1,2,29,24,68,2,1,78,61,1
1,2,1,1,5,1,1,2,29,24,68,0,1,78,61,1
1,2,1,1,5,1,2,2,29,24,68,0,1,78,61,1
1,2,1,1,5,1,1,2,29,24,68,1,1,78,61,1
1,2,1,0,5,1,1,2,29,24,68,1,1,78,61,1
1,2,1,1,5,1,0,2,29,24,68,0,1,78,61,1
0,0,1,1,3,1,1,2,23,21,84,0,0,79,56,2
0,0,0,1,3,1,0,2,23,21,84,0,0,79,56,2
0,0,0,1,3,1,1,2,23,21,84,1,0,79,56,2
0,0,1,1,3,1,2,2,23,21,84,0,0,79,56,2
0,0,1,1,3,1,0,2,23,21,84,0,0,79,56,2
1,0,1,1,0,1,2,0,21,18,94,1,1,83,93,2
1,1,1,1,9,1,2,3,29,18,94,1,1,55,51,2
1,0,1,1,0,1,1,0,21,18,94,2,1,83,93,2
1,1,1,1,9,1,1,3,29,18,94,2,1,55,51,2
1,0,1,1,0,1,2,0,21,18,94,0,1,83,93,2
1,1,1,1,9,1,2,3,29,18,94,0,1,55,51,2
1,0,1,1,0,1,1,0,21,18,94,1,1,83,93,2
1,1,1,1,9,1,1,3,29,18,94,1,1,55,51,2
1,0,0,1,0,1,1,0,21,18,94,0,1,83,93,2
1,1,0,1,9,1,1,3,29,18,94,0,1,55,51,2
1,0,1,0,0,1,1,0,21,18,94,0,1,83,93,2
1,1,1,0,9,1,1,3,29,18,94,0,1,55,51,2
1,0,1,1,3,1,1,1,25,11,98,0,0,77,81,0
1,2,1,1,18,1,1,3,25,11,98,0,1,94,52,2
1,0,1,1,4,0,1,0,26,11,98,0,0,58,87,2
1,0,1,1,3,1,2,1,25,11,98,2,0,77,81,0
1,2,1,1,18,1,2,3,25,11,98,2,1,94,52,2
1,0,1,1,4,0,2,0,26,11,98,2,0,58,87,2
1,2,1,1,18,1,1,1,28,16,70,1,1,94,84,0
1,0,1,1,13,1,1,1,22,16,70,1,0,89,83,2
1,2,1,1,13,1,1,0,19,16,70,1,1,53,86,2
1,2,1,1,18,1,2,1,28,16,70,2,1,94,84,0
1,0,1,1,13,1,2,1,22,16,70,2,0,89,83,2
1,2,1,1,13,1,2,0,19,16,70,2,1,53,86,2
0,1,1,1,6,0,1,2,24,17,78,1,1,84,59,0
0,3,1,1,20,1,1,0,26,17,78,1,0,90,85,2
0,1,1,1,13,0,1,0,29,17,78,1,1,58,85,2
0,1,0,1,6,0,2,2,24,17,78,1,1,84,59,0
0,3,0,1,20,1,2,0,26,17,78,1,0,90,85,2
0,1,0,1,13,0,2,0,29,17,78,1,1,58,85,2
0,1,0,0,6,0,1,2,24,17,78,1,1,84,59,0
0,3,0,0,20,1,1,0,26,17,78,1,0,90,85,2
0,1,0,0,13,0,1,0,29,17,78,1,1,58,85,2
0,1,1,1,6,0,1,2,24,17,78,0,1,84,59,0
0,3,1,1,20,1,1,0,26,17,78,0,0,90,85,2
0,1,1,1,13,0,1,0,29,17,78,0,1,58,85,2
0,2,1,1,13,1,0,0,28,26,61,1,0,69,99,2
0,2,1,1,13,1,1,0,28,26,61,2,0,69,99,2
0,2,1,0,13,1,2,0,28,26,61,1,0,69,99,2
1,0,1,1,20,1,1,3,23,22,86,0,0,60,47,2
1,3,1,1,17,1,1,2,24,22,86,0,1,73,55,2
1,1,1,1,19,1,1,0,19,22,86,0,0,100,87,0
1,3,1,1,18,1,1,0,24,22,86,0,1,86,96,2
1,0,0,1,20,1,0,3,23,22,86,1,0,60,47,2
1,3,0,1,17,1,0,2,24,22,86,1,1,73,55,2
1,1,0,1,19,1,0,0,19,22,86,1,0,100,87,0
1,3,0,1,18,1,0,0,24,22,86,1,1,86,96,2
1,0,1,1,20,1,1,3,23,22,86,2,0,60,47,2
1,3,1,1,17,1,1,2,24,22,86,2,1,73,55,2
1,1,1,1,19,1,1,0,19,22,86,2,0,100,87,0
1,3,1,1,18,1,1,0,24,22,86,2,1,86,96,2
1,0,1,1,20,1,1,3,23,22,86,1,0,60,47,2
1,3,1,1,17,1,1,2,24,22,86,1,1,73,55,2
1,1,1,1,19,1,1,0,19,22,86,1,0,100,87,0
1,3,1,1,18,1,1,0,24,22,86,1,1,86,96,2
1,0,0,1,20,1,1,3,23,22,86,0,0,60,47,2
1,3,0,1,17,1,1,2,24,22,86,0,1,73,55,2
1,1,0,1,19,1,1,0,19,22,86,0,0,100,87,0
1,3,0,1,18,1,1,0,24,22,86,0,1,86,96,2
1,0,0,1,20,1,1,3,23,22,86,2,0,60,47,2
1,3,0,1,17,1,1,2,24,22,86,2,1,73,55,2
1,1,0,1,19,1,1,0,19,22,86,2,0,100,87,0
1,3,0,1,18,1,1,0,24,22,86,2,1,86,96,2
1,3,0,1,15,1,1,1,24,9,77,1,1,63,76,0
1,2,0,1,14,1,1,2,18,9,77,1,1,61,65,0
1,1,0,1,8,1,1,2,28,9,77,1,0,51,66,2
1,3,0,1,15,1,1,1,24,9,77,0,1,63,76,0
1,2,0,1,14,1,1,2,18,9,77,0,1,61,65,0
1,1,0,1,8,1,1,2,28,9,77,0,0,51,66,2
1,3,1,1,15,1,2,1,24,9,77,1,1,63,76,0
1,2,1,1,14,1,2,2,18,9,77,1,1,61,65,0
1,1,1,1,8,1,2,2,28,9,77,1,0,51,66,2
1,3,0,1,15,1,0,1,24,9,77,1,1,63,76,0
1,2,0,1,14,1,0,2,18,9,77,1,1,61,65,0
1,1,0,1,8,1,0,2,28,9,77,1,0,51,66,2
1,0,1,1,10,1,1,3,20,22,71,0,0,71,52,2
1,0,0,1,10,1,1,3,20,22,71,2,0,71,52,2
1,0,0,1,10,1,1,3,20,22,71,0,0,71,52,2
1,0,1,1,10,1,1,3,20,22,71,1,0,71,52,2
1,0,1,1,10,1,2,3,20,22,71,1,0,71,52,2
1,0,1,1,10,1,0,3,20,22,71,1,0,71,52,2
1,0,0,1,13,0,1,0,26,18,68,1,0,93,92,2
1,3,0,1,13,0,1,0,18,18,68,1,0,55,98,0
1,0,0,1,13,0,2,0,26,18,68,0,0,93,92,2
1,3,0,1,13,0,2,0,18,18,68,0,0,55,98,0
1,0,1,1,13,0,2,0,26,18,68,0,0,93,92,2
1,3,1,1,13,0,2,0,18,18,68,0,0,55,98,0
1,0,1,1,13,0,2,0,26,18,68,2,0,93,92,2
1,3,1,1,13,0,2,0,18,18,68,2,0,55,98,0
1,0,1,1,13,0,1,0,26,18,68,2,0,93,92,2
1,3,1,1,13,0,1,0,18,18,68,2,0,55,98,0
1,0,1,1,13,0,0,0,26,18,68,1,0,93,92,2
1,3,1,1,13,0,0,0,18,18,68,1,0,55,98,0
1,0,0,1,13,0,2,0,26,18,68,1,0,93,92,2
1,3,0,1,13,0,2,0,18,18,68,1,0,55,98,0
1,1,1,1,2,1,1,0,26,16,86,1,1,92,94,1
1,2,1,1,7,1,1,0,18,16,86,1,1,100,98,1
1,1,1,1,7,1,1,0,29,16,86,1,0,60,92,2
1,1,0,1,2,1,2,0,26,16,86,1,1,92,94,1
1,2,0,1,7,1,2,0,18,16,86,1,1,100,98,1
1,1,0,1,7,1,2,0,29,16,86,1,0,60,92,2
1,1,1,1,2,1,1,0,26,16,86,0,1,92,94,1
1,2,1,1,7,1,1,0,18,16,86,0,1,100,98,1
1,1,1,1,7,1,1,0,29,16,86,0,0,60,92,2
1,1,1,1,2,1,1,0,26,16,86,2,1,92,94,1
1,2,1,1,7,1,1,0,18,16,86,2,1,100,98,1
1,1,1,1,7,1,1,0,29,16,86,2,0,60,92,2
1,1,0,1,2,1,1,0,26,16,86,2,1,92,94,1
1,2,0,1,7,1,1,0,18,16,86,2,1,100,98,1
1,1,0,1,7,1,1,0,29,16,86,2,0,60,92,2
1,1,0,1,2,1,0,0,26,16,86,0,1,92,94,1
1,2,0,1,7,1,0,0,18,16,86,0,1,100,98,1
1,1,0,1,7,1,0,0,29,16,86,0,0,60,92,2
0,0,0,1,5,0,0,2,22,24,77,1,1,99,66,0
0,1,0,1,5,1,0,3,19,24,77,1,0,82,51,2
0,3,0,1,8,1,0,2,26,24,77,1,0,76,62,0
0,2,0,1,2,0,0,2,19,24,77,1,1,71,62,1
0,0,0,1,5,0,2,2,22,24,77,2,1,99,66,0
0,1,0,1,5,1,2,3,19,24,77,2,0,82,51,2
0,3,0,1,8,1,2,2,26,24,77,2,0,76,62,0
0,2,0,1,2,0,2,2,19,24,77,2,1,71,62,1
0,0,0,1,5,0,1,2,22,24,77,2,1,99,66,0
0,1,0,1,5,1,1,3,19,24,77,2,0,82,51,2
